Partei: Nr.;Partei: Kurzbezeichnung;Partei: Name;These: Nr.;These: Titel;These: These;Position: Position;Position: Begründung
3;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;3;Streichung des Bürgergelds;Das Bürgergeld soll denjenigen gestrichen werden, die wiederholt Stellenangebote ablehnen.;stimme nicht zu;Mit dem Bürgergeld haben wir Instrumente geschaffen, mit denen für viele Menschen Chancen auf dem Arbeitsmarkt entstehen. Dazu gehören Qualifizierung und Coaching oder geförderte Beschäftigung durch den sozialen Arbeitsmarkt. Die Allermeisten nehmen diese Angebote an. Nur ein Bruchteil verweigert sich. Wir fordern aktive Mitwirkung ein. Unser Ziel ist, so viele Menschen wie möglich in zumutbare Arbeit zu führen. Grundsätzlich gilt: Ein menschenwürdiges Existenzminimum muss gewährleistet sein.
4;FDP;Freie Demokratische Partei;3;Streichung des Bürgergelds;Das Bürgergeld soll denjenigen gestrichen werden, die wiederholt Stellenangebote ablehnen.;stimme zu;Unser oberstes Ziel lautet: Arbeit statt Bürgergeld. Denn Arbeit ist das Fundament für Glück und Erfolg. Gesellschaftlich ist das auch eine Frage der Fairness gegenüber dem arbeitenden Steuerzahler. Erwerbsfähige Arbeitslose müssen sich darum bemühen, die eigene Hilfsbedürftigkeit durch Arbeit und Qualifizierung zu überwinden. Bei fehlender Initiative sollen die Sozialleistungen Stück für Stück reduziert werden. Dazu wollen wir die Sanktionen wirksamer gestalten.
5;AfD;Alternative für Deutschland;3;Streichung des Bürgergelds;Das Bürgergeld soll denjenigen gestrichen werden, die wiederholt Stellenangebote ablehnen.;stimme zu;Bürgergeld ist eine Sozialleistung für Arbeitssuchende. Wenn ein Arbeitssuchender wiederholt Stellenangebote ablehnt, obwohl sie zumutbar sind, kann der Solidargemeinschaft seine finanzielle Unterstützung nicht länger zugemutet werden.
6;Die Linke;Die Linke;3;Streichung des Bürgergelds;Das Bürgergeld soll denjenigen gestrichen werden, die wiederholt Stellenangebote ablehnen.;stimme nicht zu;Das Verfassungsgericht hat bereits entschieden, dass das Bürgergeld nicht auf Null gekürzt werden darf. Wer das fordert, stellt sich außerhalb der Verfassung. Die Linke will, dass Erwerbslose in gute Arbeit vermittelt werden.
7;SSW;Südschleswigscher Wählerverband;3;Streichung des Bürgergelds;Das Bürgergeld soll denjenigen gestrichen werden, die wiederholt Stellenangebote ablehnen.;stimme nicht zu;Die Einführung des Bürgergeldes war ein Schritt in die richtige Richtung, reicht aber nicht aus. Wir wollen die bisherigen Erfahrungen mit der Einführung des Bürgergeldes evaluieren und Nachbesserungen umsetzen. Von pauschalen Sanktionierungen halten wir nichts.
8;FREIE WÄHLER;FREIE WÄHLER;3;Streichung des Bürgergelds;Das Bürgergeld soll denjenigen gestrichen werden, die wiederholt Stellenangebote ablehnen.;stimme zu;Wir fordern eine grundlegende Überprüfung und Reform des sogenannten Bürgergelds. Um die sozial Bedürftigen auch künftig unterstützen zu können, müssen in Zeiten der Personalknappheit in der Wirtschaft die Arbeitsfähigen gezielter zur Arbeit aufgefordert werden. Arbeitsfähige, die zumutbare Arbeit ablehnen, dürfen nicht genauso versorgt werden wie kranke Arbeitsunfähige. Es ist Zeit für eine gerechte und effiziente Sozialpolitik, die Anreize zur Arbeitsaufnahme schafft und Missbrauch verhindert.
9;Tierschutzpartei;PARTEI MENSCH UMWELT TIERSCHUTZ;3;Streichung des Bürgergelds;Das Bürgergeld soll denjenigen gestrichen werden, die wiederholt Stellenangebote ablehnen.;stimme nicht zu;Wir lehnen die Kürzung oder Streichung des Bürgergelds ab, da es bereits jetzt kaum für soziale Teilhabe und Überleben reicht. Solange das Bürgergeld kein Existenzminimum darstellt, wäre eine Kürzung menschenunwürdig. Stattdessen fordern wir ein Grundeinkommen als nachhaltige Alternative und mehr Hilfe, um wieder in den Arbeitsmarkt einzusteigen.
10;dieBasis;Basisdemokratische Partei Deutschland;3;Streichung des Bürgergelds;Das Bürgergeld soll denjenigen gestrichen werden, die wiederholt Stellenangebote ablehnen.;stimme zu;Wer in der Lage ist, für seinen eigenen Lebensunterhalt zu sorgen, sollte dies auch tun. Solidarität und Unterstützung sollten alle bekommen, die in Not geraten sind. Wenn angemessene Stellenangebote mehrfach ohne schlüssige Begründung ablehnt werden, sollte dies Einfluss auf die Höhe des Bürgergeldes haben. Gleichzeitig ist hier auch die Debatte um ein bedingungsloses Grundeinkommen von Relevanz. Im Fall einer Einführung eines BGE würde die gesamte Debatte hierzu entfallen.
11;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;3;Streichung des Bürgergelds;Das Bürgergeld soll denjenigen gestrichen werden, die wiederholt Stellenangebote ablehnen.;stimme nicht zu;Bürgergeld wird abgeschafft und Armut unter Strafe gestellt: Wer es wagt unter die Armutsgrenze zu fallen kriegt SOFORT ein bedingungsloses Grundeinkommen. Die PARTEI testet dies gerade Deutschlandweit über kommunale Mandate.
12;Die Gerechtigkeitspartei - Team Todenhöfer;Die Gerechtigkeitspartei - Team Todenhöfer;3;Streichung des Bürgergelds;Das Bürgergeld soll denjenigen gestrichen werden, die wiederholt Stellenangebote ablehnen.;stimme zu;Wir von der Gerechtigkeitspartei betonen die Bedeutung von Eigenverantwortung, doch soziale Härten dürfen dabei nicht ignoriert werden. Das Bundesverfassungsgericht hat klare, verfassungskonforme Kriterien festgelegt, die den Umfang der Unterstützung regeln. Diese Vorgaben bieten eine ausgewogene Grundlage, um Solidarität und Eigenverantwortung miteinander in Einklang zu bringen.
13;PIRATEN;Piratenpartei Deutschland;3;Streichung des Bürgergelds;Das Bürgergeld soll denjenigen gestrichen werden, die wiederholt Stellenangebote ablehnen.;stimme nicht zu;Wir PIRATEN sind für die sofortige Abschaffung von Sanktionen. Wir fordern, dass alle Erwerbslosen, unabhängig ihres Alters, entsprechend ihrer Fähigkeiten und nach Beratung in freier Wahl und Entscheidungsfreiheit Jobs annehmen können sollen.
14;Volt;Volt Deutschland;3;Streichung des Bürgergelds;Das Bürgergeld soll denjenigen gestrichen werden, die wiederholt Stellenangebote ablehnen.;stimme nicht zu;Volts Lösung ist die Einführung der negativen Einkommenssteuer und des existenzsichernden Grundeinkommens. So muss niemand unter der Armutsgrenze leben und der bürokratische Aufwand für die strikte Einhaltung der Bürgergeldregeln fällt weg. Deutschland spart so ca. 6 Mrd. € Verwaltungskosten.
15;ÖDP;Ökologisch-Demokratische Partei - Die Naturschutzpartei;3;Streichung des Bürgergelds;Das Bürgergeld soll denjenigen gestrichen werden, die wiederholt Stellenangebote ablehnen.;stimme nicht zu;Die Reform des Bürgergeldgesetzes zum 01.01.2023 hat die Sanktionsmöglichkeiten stark abgemildert. In dieser reduzierten Form sind Leistungskürzungen zu verteidigen. Eine völlige Kürzung widerspricht analog der Kürzungen von Hartz IV unserem Grundgesetz. Das BVerfG damals: „Die den Anspruch fundierende Menschenwürde steht allen zu und geht selbst durch vermeintlich ‚unwürdiges‘ Verhalten nicht verloren.“ 
16;Verjüngungsforschung;Partei für Verjüngungsforschung;3;Streichung des Bürgergelds;Das Bürgergeld soll denjenigen gestrichen werden, die wiederholt Stellenangebote ablehnen.;neutral;Unsere Partei hat hierzu keine Position. Das einzige Ziel der Partei für Verjüngungsforschung ist, die Entwicklung von Medizin zu beschleunigen, mit der Menschen durch Verjüngung tausende Jahre gesund leben können. Pro Tag sterben weltweit über 100.000 Menschen am Altern und damit verbundenen Alterskrankheiten. Zukünftige Medizin wird diese Menschenleben wahrscheinlich retten können. Dafür sollen 10% des Bundeshaushaltes pro Jahr zusätzlich in diesen Bereich investiert werden.
17;PdH;Partei der Humanisten - Fakten, Freiheit, Fortschritt;3;Streichung des Bürgergelds;Das Bürgergeld soll denjenigen gestrichen werden, die wiederholt Stellenangebote ablehnen.;stimme nicht zu;Wir sprechen uns nicht nur für die Abschaffung von Auflagen, Sanktionen und Vermögensprüfungen aus, sondern wollen auch die Nutzung von Hinzuverdienstmöglichkeiten erleichtern. Langfristig setzen wir uns für ein Grundeinkommen ein, um für mehr Selbstbestimmung und weniger Bevormundung zu sorgen.
18;Bündnis C;Bündnis C - Christen für Deutschland;3;Streichung des Bürgergelds;Das Bürgergeld soll denjenigen gestrichen werden, die wiederholt Stellenangebote ablehnen.;stimme zu;
19;BP;Bayernpartei;3;Streichung des Bürgergelds;Das Bürgergeld soll denjenigen gestrichen werden, die wiederholt Stellenangebote ablehnen.;stimme zu;
20;MLPD;Marxistisch-Leninistische Partei Deutschlands;3;Streichung des Bürgergelds;Das Bürgergeld soll denjenigen gestrichen werden, die wiederholt Stellenangebote ablehnen.;stimme nicht zu;Selbstverständlich sind wir dafür, dass jeder, dem es gesundheitlich möglich ist, arbeitet und zum gesellschaftlichen Leben beiträgt. Doch die mit Hartz IV und jetzt dem Bürgergeld eingeführten Sanktionsmaßnahmen haben nur den Zweck, schlechte Arbeitsbedingungen und Löhne zu legitimieren.
21;MENSCHLICHE WELT;Menschliche Welt - für das Wohl und Glücklichsein aller;3;Streichung des Bürgergelds;Das Bürgergeld soll denjenigen gestrichen werden, die wiederholt Stellenangebote ablehnen.;neutral;Leistungslose Einkommen schaden der Gesellschaft und bieten häufig Anreize, die auch dem Wohlbefinden von Empfängern langfristig nicht dienen. Wer beitragen kann und mehrere annehmbare Möglichkeiten angeboten bekommt, sollte eine davon wahrnehmen. Sonst sollte die existenzielle Grundversorgung wesentlich durch Sachleistungen in den Bereichen Wohnung, medizinische Versorgung, Kleidung, Nahrung und Bildung erfolgen.
22;PdF;Partei des Fortschritts;3;Streichung des Bürgergelds;Das Bürgergeld soll denjenigen gestrichen werden, die wiederholt Stellenangebote ablehnen.;stimme zu;Unser Ziel ist ein gerechtes System, das Bedürftige unterstützt und Missbrauch verhindert. Wir befürworten Maßnahmen gegen den Missbrauch des Sozialsystems, einschließlich des Bürgergeldes. Wichtig ist dabei eine differenzierte Umsetzung, die individuelle Lebensumstände berücksichtigt. So darf etwa eine alleinerziehende Mutter ohne Kinderbetreuung nicht mit Personen gleichgesetzt werden, die keine Arbeitsmotivation zeigen.
23;SGP;Sozialistische Gleichheitspartei, Vierte Internationale;3;Streichung des Bürgergelds;Das Bürgergeld soll denjenigen gestrichen werden, die wiederholt Stellenangebote ablehnen.;stimme nicht zu;Die Situation von Bürgergeld-Empfängern muss verbessert werden. Jede Verschlechterung ihrer Situation dient als Hebel, um die Lebens- und Arbeitsbedingungen aller Arbeiter zu verschlechtern und Arbeitslose zur Annahme der schlecht bezahltesten und miesesten Jobs zu zwingen. Wir setzten der ständigen Verschlechterung der Lebensbedingungen aller Arbeiter das sozialistische Prinzip entgegen, dass die Wirtschaft den Bedürfnissen der Menschen dienen muss.
24;BüSo;Bürgerrechtsbewegung Solidarität;3;Streichung des Bürgergelds;Das Bürgergeld soll denjenigen gestrichen werden, die wiederholt Stellenangebote ablehnen.;stimme nicht zu;Das ist unsozial. Vor allem müssen aktiv neue produktive und gutbezahlte Arbeitsplätze geschaffen werden, damit es Perspektiven für alle gibt. Das geht nicht mit grüner Politik, die Energie verteuert und damit die Kosten für Unternehmer hochtreibt. Außerdem muss Deutschland eine aktive Politik der Zusammenarbeit mit den BRICS-Staaten für große Aufbauprojekte betreiben.
25;BÜNDNIS DEUTSCHLAND;BÜNDNIS DEUTSCHLAND;3;Streichung des Bürgergelds;Das Bürgergeld soll denjenigen gestrichen werden, die wiederholt Stellenangebote ablehnen.;stimme zu;BÜNDNIS DEUTSCHLAND steht dafür ein, dass Menschen, die in Not geraten sind, geholfen wird. Soweit Menschen arbeiten können, dies jedoch verweigern, um auf Kosten der Allgemeinheit zu leben, muss das Konsequenzen haben.
26;BSW;Bündnis Sahra Wagenknecht – Vernunft und Gerechtigkeit;3;Streichung des Bürgergelds;Das Bürgergeld soll denjenigen gestrichen werden, die wiederholt Stellenangebote ablehnen.;stimme zu;Dies darf aber nur beim Angebot von zumutbaren Tätigkeiten gelten, die der beruflichen Qualifikation entsprechen.
27;MERA25;MERA25 - Gemeinsam für Europäische Unabhängigkeit;3;Streichung des Bürgergelds;Das Bürgergeld soll denjenigen gestrichen werden, die wiederholt Stellenangebote ablehnen.;stimme nicht zu;Ziel des Bürgergeldes ist es, das Grundrecht auf Existenz und angemessenen Lebensunterhalt zu sichern, auch für grundsätzlich Erwerbsfähige, die aus vielfältigsten Gründen - gesundheitlich, psychologisch, sozial und/oder familiär bedingt - ihren Lebensunterhalt selbst nicht bestreiten können. Diese Menschen benötigen ein Mehr an sozialer und/oder psychologischer Hilfe und kein Weniger an Leistungen bis zur Existenznot. Individuell und gesamtgesellschaftlich sind Sanktionen kein probates Mittel.
28;WerteUnion;WerteUnion;3;Streichung des Bürgergelds;Das Bürgergeld soll denjenigen gestrichen werden, die wiederholt Stellenangebote ablehnen.;stimme zu;Das „Bürgergeld“ muss reformiert werden. Wir fordern einen deutlichen Abstand zwischen Arbeitseinkommen und Transferleistungen.
1;SPD;Sozialdemokratische Partei Deutschlands;4;Tempolimit auf Autobahnen;Auf allen Autobahnen soll ein generelles Tempolimit gelten.;stimme zu;Wir wollen ein Tempolimit von 130 Stundenkilometern auf Bundesautobahnen einführen. Dadurch wird es deutlich sicherer und entspannter auf der Autobahn: Stress, Unfälle, Staus und Lärm werden weniger. Es gibt weniger Verkehrstote und Schwerverletzte. Und das Tempolimit leistet auch einen schnellen und wirksamen Beitrag zum Klimaschutz. In allen unseren Nachbarländern fährt es sich gut mit einem Tempolimit.
2;CDU / CSU;Christlich Demokratische Union Deutschlands / Christlich-Soziale Union in Bayern e.V.;4;Tempolimit auf Autobahnen;Auf allen Autobahnen soll ein generelles Tempolimit gelten.;stimme nicht zu;Wir sehen in der individuellen Mobilität den Inbegriff von Freiheit und spielen deshalb unterschiedliche Verkehrsmittel nicht gegeneinander aus. Anti-Auto-Haltung, Fahrverbote für Innenstädte, das Umwidmen von Parkplätzen und ein generelles Tempolimit auf deutschen Autobahnen lehnen wir ab und setzen stattdessen auf innovative, moderne Verkehrssteuerung. An Gefahrenstellen bestehen schon heute Tempolimits, um die Verkehrssicherheit zu erhöhen.
3;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;4;Tempolimit auf Autobahnen;Auf allen Autobahnen soll ein generelles Tempolimit gelten.;stimme zu;Als einziges Land weltweit erlaubt Deutschland das unbegrenzte Rasen auf Autobahnen, zum Schaden von Menschenleben und Umwelt. Ein Tempolimit ist gut für die Verkehrssicherheit und den Klimaschutz. Es sorgt zudem dafür, dass der Verkehr flüssiger läuft.
4;FDP;Freie Demokratische Partei;4;Tempolimit auf Autobahnen;Auf allen Autobahnen soll ein generelles Tempolimit gelten.;stimme nicht zu;Wir Freie Demokraten lehnen ein generelles Tempolimit auf Autobahnen ab. Auch ohne Tempolimit sind die deutschen Autobahnen mit die sichersten in Europa. Wir vertrauen auf die Eigenverantwortung mündiger Bürger. Ein faires Miteinander aller Verkehrsteilnehmer erreichen wir nicht durch Verbote, sondern durch ausgewogene Regeln und gegenseitigen Respekt. Ein Tempolimit würde keine entscheidende Reduzierung des CO2-Ausstoßes bewirken, es ist Symbolpolitik gegen die freie Entscheidung und das Auto.
5;AfD;Alternative für Deutschland;4;Tempolimit auf Autobahnen;Auf allen Autobahnen soll ein generelles Tempolimit gelten.;stimme nicht zu;Es gibt bereits viel zu viele politisch motivierte Einflüsse auf das Verkehrsgeschehen. Bürger sind mündig und in der Lage nach Maßgabe der StVo zu handeln und ihre Geschwindigkeit anzupassen wo dies erforderlich ist.
